PLAYER,BATTING_HAND,BOWLING_TYPE,PLAYING_ROLE,COUNTRY,IS_ACTIVE
A Ashish Reddy,Right hand Bat,Right arm Medium,Allrounder,India,False
A Badoni,Right hand Bat,Right arm Offbreak,Batter,India,True
A Chandila,Right hand Bat,Right arm Offbreak,Allrounder,India,False
A Chopra,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,India,False
A Choudhary,Right hand Bat,Left arm Medium,Bowler,India,False
A Dananjaya,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder,Sri Lanka,False
A Flintoff,Right hand Bat,Right arm Fast medium,Allrounder,England,False
A Kamboj,Right hand Bat,Right arm Medium,Allrounder,India,True
A Kumble,Right hand Bat,Legbreak Googly,Bowler,India,False
A Manohar,Right hand Bat,Legbreak Googly,Batting Allrounder,India,False
A Mhatre,Unknown,Unknown,Unknown,Unknown,True
A Mishra,Right hand Bat,Legbreak,Bowler,India,False
A Mithun,Right hand Bat,Right arm Medium,Bowler,India,False
A Mukund,Left hand Bat,Legbreak Googly,Top order Batter,India,False
A Nehra,Right hand Bat,Left arm Medium fast,Bowler,India,False
A Nel,Right hand Bat,Right arm Fast medium,Bowler,South Africa,False
A Nortje,Right hand Bat,Right arm Fast,Bowler,South Africa,True
A Raghuvanshi,Right-hand bat,Slow left-arm orthodox,Unknown,India,True
A Singh,Right hand Bat,Right arm Medium fast,Bowler,India,False
A Symonds,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder,Australia,False
A Tomar,Right hand Bat,Right arm Offbreak,Opening Batter,India,False
A Uniyal,Left hand Bat,Left arm Medium,Unknown,India,False
A Zampa,Right hand Bat,Legbreak Googly,Bowler,Australia,False
AA Bilakhia,Right hand Bat,Right arm Medium,Unknown,India,False
AA Chavan,Left hand Bat,Slow Left arm Orthodox,Batter,India,False
AA Jhunjhunwala,Right hand Bat,Right arm Offbreak,Batter,India,False
AA Kazi,Left hand Bat,Slow Left arm Orthodox,Bowler,India,False
AA Kulkarni,Right-hand bat,Right-arm medium,Unknown,India,True
AA Noffke,Right hand Bat,Right arm Fast medium,Allrounder,Australia,False
AB Agarkar,Right hand Bat,Right arm Fast,Bowler,India,False
AB Barath,Right hand Bat,Right arm Offbreak,Opening Batter,West Indies,False
AB Dinda,Right hand Bat,Right arm Medium fast,Bowler,India,False
AB McDonald,Right hand Bat,Right arm Fast medium,Allrounder,Australia,False
AB de Villiers,Right hand Bat,Right arm Medium,Wicketkeeper Batter,South Africa,False
AC Blizzard,Left hand Bat,Left arm Medium,Batter,Australia,False
AC Gilchrist,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Australia,False
AC Thomas,Right hand Bat,Right arm Fast medium,Bowler,South Africa,False
AC Voges,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Australia,False
AD Hales,Right hand Bat,Right arm Medium,Opening Batter,England,False
AD Mascarenhas,Right hand Bat,Right arm Fast medium,Allrounder,England,False
AD Mathews,Right hand Bat,Right arm Medium,Allrounder,Sri Lanka,False
AD Nath,Right hand Bat,Right arm Medium fast,Middle order Batter,India,False
AD Russell,Right hand Bat,Right arm Fast,Allrounder,West Indies,False
AF Milne,Right hand Bat,Right arm Fast,Bowler,New Zealand,True
AG Murtaza,Left hand Bat,Slow Left arm Orthodox,Bowler,India,False
AG Paunikar,Right hand Bat,Unknown,Wicketkeeper Batter,India,False
AJ Finch,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Australia,False
AJ Hosein,Left hand Bat,Slow Left arm Orthodox,Bowler,West Indies,True
AJ Turner,Right hand Bat,Right arm Offbreak,Middle order Batter,Australia,False
AJ Tye,Right hand Bat,Right arm Medium fast,Bowler,Australia,False
AK Markram,Right hand Bat,Right arm Offbreak,Opening Batter,South Africa,True
AL Menaria,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,False
AM Ghazanfar,Right-hand bat,Right-arm offbreak,Unknown,Afghanistan,True
AM Nayar,Left hand Bat,Right arm Medium,Allrounder,India,False
AM Rahane,Right hand Bat,Right arm Medium,Top order Batter,India,True
AM Salvi,Right hand Bat,Right arm Medium,Bowler,India,False
AN Ahmed,Right hand Bat,Right arm Medium fast,Bowler,India,False
AN Ghosh,Right hand Bat,Right arm Medium,Batter,India,False
AP Dole,Right hand Bat,Right arm Medium fast,Bowler,India,False
AP Majumdar,Right hand Bat,Legbreak Googly,Unknown,India,False
AP Tare,Right hand Bat,Unknown,Wicketkeeper,India,False
AR Bawne,Right hand Bat,Right arm Offbreak,Middle order Batter,India,False
AR Patel,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,India,True
AS Joseph,Right hand Bat,Right arm Fast,Bowler,West Indies,False
AS Rajpoot,Right hand Bat,Right arm Medium,Bowler,India,False
AS Raut,Right hand Bat,Legbreak Googly,Allrounder,India,False
AS Roy,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,True
AS Yadav,Right hand Bat,Right arm Offbreak,Batter,India,False
AT Carey,Left hand Bat,Unknown,Wicketkeeper Batter,Australia,False
AT Rayudu,Right hand Bat,Right arm Offbreak,Middle order Batter,India,False
AU Rashid,Right hand Bat,Legbreak,Bowler,England,False
AUK Pathan,Right hand Bat,Right arm Medium,Bowler,India,False
Abdul Basith,Right hand Bat,Right arm Offbreak,Unknown,India,False
Abdul Samad,Right hand Bat,Legbreak,Batter,India,True
Abdur Razzak,Left hand Bat,Slow Left arm Orthodox,Bowler,Bangladesh,False
Abhinandan Singh,Unknown,Unknown,Unknown,Unknown,True
Abhishek Sharma,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,True
Abishek Porel,Left hand Bat,Unknown,Wicketkeeper Batter,India,True
Akash Deep,Right hand Bat,Right arm Fast medium,Bowling Allrounder,India,False
Akash Madhwal,Right hand Bat,Right arm Medium fast,Bowler,India,False
Akash Singh,Right hand Bat,Left arm Medium fast,Bowler,India,True
Akshat Raghuwanshi,Right hand Bat,Right arm Offbreak,Unknown,India,True
Aman Hakim Khan,Right hand Bat,Right arm Medium,Bowler,India,False
Anand Rajan,Right hand Bat,Right arm Medium,Bowler,India,False
Aniket Verma,Right-hand bat,Right-arm medium-fast,Unknown,India,True
Anirudh Singh,Left hand Bat,Right arm Medium,Unknown,India,False
Ankit Sharma,Left hand Bat,Slow Left arm Orthodox,Bowler,India,False
Ankit Soni,Right hand Bat,Legbreak,Allrounder,India,False
Anmolpreet Singh,Right hand Bat,Right arm Offbreak,Batter,India,False
Anuj Rawat,Left hand Bat,Unknown,Wicketkeeper Batter,India,False
Anureet Singh,Right hand Bat,Right arm Medium,Bowler,India,False
Arjun Tendulkar,Left hand Bat,Left arm Medium fast,Bowler,India,True
Arshad Khan,Right hand Bat,Right arm Offbreak,Bowler,Pakistan,True
Arshad Khan (2),Left hand Bat,Left arm Medium,Bowler,India,False
Arshdeep Singh,Left hand Bat,Left arm Medium fast,Bowler,India,True
Ashok Sharma,Unknown,Unknown,Unknown,Unknown,True
Ashutosh Sharma,Right hand Bat,Unknown,Unknown,India,True
Ashwani Kumar,Left hand Bat,Left arm Medium,Unknown,India,True
Atharva Taide,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,India,False
Auqib Nabi,Right hand Bat,Right arm Medium,Unknown,India,True
Avesh Khan,Right hand Bat,Right arm Fast medium,Bowler,India,True
Azhar Mahmood,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Pakistan,False
Azmatullah Omarzai,Right hand Bat,Right arm Medium fast,Allrounder,Afghanistan,True
B Akhil,Right hand Bat,Right arm Medium fast,Bowler,India,False
B Chipli,Right hand Bat,Right arm Medium,Batter,India,False
B Geeves,Right hand Bat,Right arm Fast medium,Bowler,Australia,False
B Indrajith,Right hand Bat,Legbreak Googly,Top order Batter,India,False
B Kumar,Right hand Bat,Right arm Medium,Bowler,India,True
B Laughlin,Right hand Bat,Right arm Fast medium,Bowler,Australia,False
B Lee,Right hand Bat,Right arm Fast,Bowler,Australia,False
B Muzarabani,Right hand Bat,Right arm Fast medium,Bowler,Zimbabwe,True
B Sai Sudharsan,Left hand Bat,Legbreak,Top order Batter,India,True
B Stanlake,Left hand Bat,Right arm Fast,Bowler,Australia,False
B Sumanth,Right hand Bat,Right arm Medium fast,Middle order Batter,India,False
BA Bhatt,Left hand Bat,Slow Left arm Orthodox,Bowler,India,False
BA Stokes,Left hand Bat,Right arm Fast medium,Allrounder,England,False
BAW Mendis,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka,False
BB McCullum,Right hand Bat,"Right arm Medium, Right arm Offbreak",Wicketkeeper Batter,New Zealand,False
BB Samantray,Right hand Bat,Right arm Medium,Allrounder,India,False
BB Sran,Left hand Bat,Left arm Medium,Bowler,India,False
BCJ Cutting,Right hand Bat,Right arm Fast medium,Allrounder,Australia,False
BE Hendricks,Left hand Bat,Left arm Fast medium,Bowler,South Africa,False
BJ Dwarshuis,Left hand Bat,Left arm Fast medium,Bowler,Australia,True
BJ Haddin,Right hand Bat,Unknown,Wicketkeeper Batter,Australia,False
BJ Hodge,Right hand Bat,Right arm Offbreak,Top order Batter,Australia,False
BJ Rohrer,Left hand Bat,Unknown,Middle order Batter,Australia,False
BKG Mendis,Right hand Bat,Legbreak,Wicketkeeper Batter,Sri Lanka,False
BMAJ Mendis,Left hand Bat,Legbreak,Allrounder,Sri Lanka,False
BR Dunk,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Australia,False
BR Sharath,Right hand Bat,Unknown,Wicketkeeper Batter,India,False
BW Hilfenhaus,Right hand Bat,Right arm Fast medium,Bowler,Australia,False
Basil Thampi,Right hand Bat,Right arm Fast medium,Bowler,India,False
Bipul Sharma,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,False
Brijesh Sharma,Unknown,Unknown,Unknown,Unknown,True
C Bosch,Right hand Bat,Right arm Fast medium,Allrounder,South Africa,True
C Connolly,Left hand Bat,Slow Left arm Orthodox,Top order Batter,Australia,True
C Ganapathy,Right hand Bat,Right arm Medium,Unknown,India,False
C Green,Right hand Bat,Right arm Fast medium,Batting Allrounder,Australia,True
C Madan,Right hand Bat,Unknown,Wicketkeeper,India,False
C Munro,Left hand Bat,Right arm Medium fast,Opening Batter,New Zealand,False
C Nanda,Right hand Bat,Legbreak,Unknown,India,False
C Sakariya,Left hand Bat,Left arm Medium fast,Bowler,India,False
C de Grandhomme,Right hand Bat,Right arm Medium fast,Allrounder,New Zealand,False
CA Ingram,Left hand Bat,Legbreak,Top order Batter,South Africa,False
CA Lynn,Right hand Bat,Slow Left arm Orthodox,Batter,Australia,False
CA Pujara,Right hand Bat,Legbreak,Top order Batter,India,False
CH Gayle,Left hand Bat,Right arm Offbreak,Allrounder,West Indies,False
CH Morris,Right hand Bat,Right arm Fast medium,Bowling Allrounder,South Africa,False
CJ Anderson,Left hand Bat,Left arm Medium fast,Batting Allrounder,New Zealand,False
CJ Dala,Right hand Bat,Right arm Medium,Bowler,South Africa,False
CJ Ferguson,Right hand Bat,Right arm Medium,Middle order Batter,Australia,False
CJ Green,Right hand Bat,Right arm Offbreak,Bowling Allrounder,Australia,False
CJ Jordan,Right hand Bat,Right arm Fast medium,Bowler,England,False
CJ McKay,Right hand Bat,Right arm Fast medium,Bowler,Australia,False
CK Kapugedera,Right hand Bat,Right arm Medium,Middle order Batter,Sri Lanka,False
CK Langeveldt,Right hand Bat,Right arm Fast medium,Bowler,South Africa,False
CL White,Right hand Bat,Legbreak Googly,Middle order Batter,Australia,False
CM Gautam,Right hand Bat,Unknown,Wicketkeeper,India,False
CR Brathwaite,Right hand Bat,Right arm Fast medium,Allrounder,West Indies,False
CR Woakes,Right hand Bat,Right arm Fast medium,Allrounder,England,False
CRD Fernando,Right hand Bat,Right arm Fast medium,Bowler,Sri Lanka,False
CV Varun,Right hand Bat,Legbreak Googly,Bowler,India,True
D Brevis,Right hand Bat,Legbreak,Batting Allrounder,South Africa,True
D Ferreira,Right hand Bat,Unknown,Allrounder,South Africa,True
D Jansen,Left hand Bat,Left arm Medium,Unknown,Isle of Man,False
D Kalyankrishna,Right hand Bat,Right arm Medium fast,Unknown,India,False
D Madushanka,Right hand Bat,Left arm Medium fast,Bowler,Sri Lanka,True
D Padikkal,Left hand Bat,Right arm Offbreak,Top order Batter,India,True
D Pretorius,Right hand Bat,Right arm Medium fast,Bowling Allrounder,South Africa,False
D Salunkhe,Right hand Bat,Legbreak,Bowler,India,False
D Wiese,Right hand Bat,Right arm Medium fast,Allrounder,Namibia,False
D du Preez,Right hand Bat,Right arm Fast medium,Unknown,South Africa,False
DA Miller,Left hand Bat,Right arm Offbreak,Middle order Batter,South Africa,True
DA Payne,Right hand Bat,Left arm Fast medium,Bowler,England,True
DA Warner,Left hand Bat,Legbreak,Opening Batter,Australia,False
DAJ Bracewell,Right hand Bat,Right arm Fast medium,Bowler,New Zealand,False
DB Das,Right hand Bat,Legbreak Googly,Top order Batter,India,False
DB Ravi Teja,Right hand Bat,Legbreak Googly,Batter,India,False
DE Bollinger,Left hand Bat,Left arm Fast medium,Bowler,Australia,False
DG Nalkande,Right hand Bat,Right arm Fast medium,Bowler,India,False
DH Yagnik,Left hand Bat,Unknown,Wicketkeeper,India,False
DJ Bravo,Right hand Bat,Right arm Medium,Allrounder,West Indies,False
DJ Harris,Right hand Bat,Right arm Medium,Unknown,Australia,False
DJ Hooda,Right hand Bat,Right arm Offbreak,Allrounder,India,False
DJ Hussey,Right hand Bat,Right arm Offbreak,Allrounder,Australia,False
DJ Jacobs,Right hand Bat,Right arm Medium,Wicketkeeper Batter,South Africa,False
DJ Malan,Left hand Bat,Legbreak,Top order Batter,England,False
DJ Mitchell,Right hand Bat,Right arm Medium,Allrounder,New Zealand,False
DJ Muthuswami,Right hand Bat,Right arm Medium,Unknown,India,False
DJ Thornely,Right hand Bat,"Right arm Medium, Right arm Offbreak",Top order Batter,Australia,False
DJ Willey,Left hand Bat,Left arm Fast medium,Bowling Allrounder,England,False
DJG Sammy,Right hand Bat,Right arm Medium,Allrounder,West Indies,False
DJM Short,Left hand Bat,Left arm Wrist spin,Opening Batter,Australia,False
DL Chahar,Right hand Bat,Right arm Medium,Bowler,India,True
DL Vettori,Left hand Bat,Slow Left arm Orthodox,Allrounder,New Zealand,False
DM Bravo,Left hand Bat,Right arm Medium,Top order Batter,West Indies,False
DNT Zoysa,Left hand Bat,Left arm Fast medium,Bowler,Sri Lanka,False
DP Conway,Left hand Bat,Right arm Medium,Wicketkeeper Batter,New Zealand,False
DP Nannes,Right hand Bat,Left arm Fast,Bowler,Australia,False
DP Vijaykumar,Right hand Bat,Right arm Medium,Unknown,India,False
DPMD Jayawardene,Right hand Bat,Right arm Medium,Batter,Sri Lanka,False
DR Martyn,Right hand Bat,Right arm Medium,Top order Batter,Australia,False
DR Sams,Right hand Bat,Left arm Fast medium,Allrounder,Australia,False
DR Shorey,Right hand Bat,Right arm Offbreak,Top order Batter,India,False
DR Smith,Right hand Bat,Right arm Medium,Allrounder,West Indies,False
DS Kulkarni,Right hand Bat,Right arm Medium,Bowler,India,False
DS Lehmann,Left hand Bat,Slow Left arm Orthodox,Top order Batter,Australia,False
DS Rathi,Unknown,Unknown,Unknown,Unknown,True
DT Christian,Right hand Bat,Right arm Fast medium,Allrounder,Australia,False
DT Patil,Right hand Bat,Unknown,Unknown,India,False
DV Malewar,Unknown,Unknown,Unknown,Unknown,True
DW Steyn,Right hand Bat,Right arm Fast,Bowler,South Africa,False
Dhruv Jurel,Right hand Bat,Unknown,Wicketkeeper Batter,India,True
E Lewis,Left hand Bat,Unknown,Opening Batter,West Indies,False
E Malinga,Left-hand bat,Right-arm fast-medium,Unknown,Sri Lanka,True
EJG Morgan,Left hand Bat,Right arm Medium,Middle order Batter,England,False
ER Dwivedi,Right hand Bat,Unknown,Wicketkeeper,India,False
F Behardien,Right hand Bat,Right arm Fast medium,Batting Allrounder,South Africa,False
F du Plessis,Right hand Bat,Legbreak,Middle order Batter,South Africa,False
FA Allen,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,West Indies,False
FH Allen,Right hand Bat,Unknown,Top order Batter,New Zealand,True
FH Edwards,Right hand Bat,Right arm Fast,Bowler,West Indies,False
FY Fazal,Left hand Bat,Right arm Medium,Opening Batter,India,False
Fazalhaq Farooqi,Right hand Bat,Left arm Fast medium,Bowler,Afghanistan,False
G Coetzee,Right hand Bat,Right arm Fast,Bowler,South Africa,False
G Gambhir,Left hand Bat,Legbreak,Top order Batter,India,False
GB Hogg,Left hand Bat,Left arm Wrist spin,Allrounder,Australia,False
GC Smith,Left hand Bat,Right arm Offbreak,Opening Batter,South Africa,False
GC Viljoen,Right hand Bat,Right arm Fast,Bowler,South Africa,False
GD McGrath,Right hand Bat,Right arm Fast medium,Bowler,Australia,False
GD Phillips,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,New Zealand,True
GF Linde,Left hand Bat,Slow Left arm Orthodox,Allrounder,South Africa,True
GH Vihari,Right hand Bat,Right arm Offbreak,Batting Allrounder,India,False
GHS Garton,Left hand Bat,Left arm Fast,Bowling Allrounder,England,False
GJ Bailey,Right hand Bat,Right arm Medium,Top order Batter,Australia,False
GJ Maxwell,Right hand Bat,Right arm Offbreak,Batting Allrounder,Australia,False
GR Napier,Right hand Bat,Right arm Medium,Bowling Allrounder,England,False
GS Sandhu,Left hand Bat,Right arm Fast medium,Bowler,Australia,False
Gagandeep Singh,Right hand Bat,Right arm Medium fast,Unknown,India,False
Gulbadin Naib,Right hand Bat,Right arm Medium fast,Batting Allrounder,Afghanistan,False
Gurjapneet Singh,Unknown,Unknown,Unknown,Unknown,True
Gurkeerat Singh,Right hand Bat,Right arm Offbreak,Middle order Batter,India,False
Gurnoor Brar,Left hand Bat,Right arm Fast,Bowler,India,False
H Das,Right hand Bat,Unknown,Unknown,India,False
H Klaasen,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,South Africa,True
H Sharma,Right hand Bat,Legbreak,Bowler,India,False
HC Brook,Right hand Bat,Right arm Medium,Batter,England,False
HE van der Dussen,Right hand Bat,Legbreak,Top order Batter,South Africa,False
HF Gurney,Right hand Bat,Left arm Fast medium,Bowler,England,False
HH Gibbs,Right hand Bat,Right arm Bowler,Opening Batter,South Africa,False
HH Pandya,Right hand Bat,Right arm Medium fast,Allrounder,India,True
HM Amla,Right hand Bat,"Right arm Medium, Right arm Offbreak",Top order Batter,South Africa,False
HR Shokeen,Right hand Bat,Right arm Offbreak,Bowler,India,False
HV Patel,Right hand Bat,Right arm Medium,Bowler,India,True
Harbhajan Singh,Right hand Bat,Right arm Offbreak,Bowler,India,False
Harmeet Singh,Right hand Bat,Right arm Medium,Bowler,India,False
Harmeet Singh (2),Left hand Bat,Slow Left arm Orthodox,Unknown,India,False
Harpreet Brar,Left hand Bat,Slow Left arm Orthodox,Bowler,India,True
Harpreet Singh,Left hand Bat,Right arm Medium,Batter,India,False
Harsh Dubey,Left hand Bat,Slow Left arm Orthodox,Unknown,India,True
Harshit Rana,Right hand Bat,Right arm Medium fast,Bowler,India,False
Himmat Singh,Right hand Bat,Right arm Offbreak,Batter,India,True
I Malhotra,Right hand Bat,Right arm Medium fast,Bowler,India,False
